Starting Experiment with Threshold 0.001
(Lower threshold than before)
Stopping on first fine-grained attempt
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000194,1,0.0030721966205837174,1302,53276,5
0000000195,1,0.0,1411,53276,7
0000000196,1,0.002652519893899204,1508,53272,8
0000000197,1,0.004594180704441042,2612,53265,20
0000000198,1,0.0013253810470510272,1509,53271,8
0000000199,1,0.002307692307692308,2600,53273,20
0000000200,1,0.0026507620941020544,1509,53273,13
0000000201,1,0.0015414258188824663,2595,53268,22
0000000202,1,0.0,1503,53264,7
0000000203,1,7.648183556405354E-4,2615,53268,21
0000000204,1,0.0,1504,53269,9
0000000205,1,7.710100231303007E-4,2594,53267,25
0000000206,1,0.0,1508,53269,7
0000000207,1,7.716049382716049E-4,2592,53265,21
0000000208,1,0.0,1508,53268,7
0000000209,1,0.0015296367112810707,2615,53268,20
0000000210,1,0.0,1507,53270,7
0000000211,1,0.0030828516377649326,2595,53268,20
0000000212,1,0.003986710963455149,1505,53267,9
0000000213,1,7.710100231303007E-4,2594,53267,20
0000000214,1,0.0,1503,53266,7
0000000215,1,0.0015308075009567547,2613,53266,20
0000000216,1,0.0013297872340425532,1504,53264,8
0000000217,1,0.002313030069390902,2594,53267,19
0000000218,1,0.0,1506,53268,13
