Starting Experiment with Threshold 0.001
Optimisation 1
Stopping on first fine-grained match below threshold
Filename, Fine-grained tries, Measure, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000000162,1,0.0014503263234227702,1379,1045078,9
0000000163,1,0.0,1376,1045075,10
0000000164,1,0.001455604075691412,1374,1045072,11
0000000165,1,0.0,1374,1045071,10
0000000166,1,0.0,1382,1045080,11
0000000167,1,0.0,1376,1045075,16
0000000168,1,0.004373177842565598,1372,1045068,12
0000000169,1,0.0,1377,1045073,10
0000000170,1,0.0014524328249818446,1377,1045072,11
0000000171,1,0.0029069767441860465,1376,1045078,10
0000000172,1,0.0014524328249818446,1377,1045079,10
0000000173,1,0.0014534883720930232,1376,1045080,10
0000000174,1,0.0014545454545454545,1375,1045083,11
0000000175,1,0.0014503263234227702,1379,1045092,9
0000000176,1,0.0,1377,1045101,10
0000000177,1,0.0,1377,1045102,10
0000000178,1,0.001448225923244026,1381,1045104,10
0000000179,1,0.0,1379,1045103,10
0000000180,1,0.0,1383,1045104,10
0000000181,1,0.0014534883720930232,1376,1045128,10
0000000182,1,0.001455604075691412,1374,1045126,11
0000000183,1,0.0029069767441860465,1376,1045126,11
0000000184,1,0.005818181818181818,1375,1045124,10
0000000185,1,0.0,1372,1045123,10
0000000186,1,0.004357298474945534,1377,1045124,11
0000000187,1,0.0,1379,1045162,10
0000000188,1,0.0,1376,1045157,11
0000000189,1,0.002904865649963689,1377,1045162,10
0000000190,1,0.0014545454545454545,1375,1045158,9
0000000191,1,0.0,1379,1045163,11
0000000192,1,0.0,1384,1045164,11
0000000193,1,0.0,1377,1045154,11
0000000194,1,0.0,1379,1045157,10
0000000195,1,0.0,1380,1045159,9
0000000196,1,0.0,1375,1045186,15
0000000197,1,0.0,1377,1045188,10
0000000198,1,0.0014534883720930232,1376,1045188,11
0000000199,1,0.0014566642388929353,1373,1045184,11
0000000200,1,0.007288629737609329,1372,1045178,11
0000000201,1,0.007267441860465116,1376,1045187,9
0000000202,1,0.0,1374,1045187,11
0000000203,1,0.0,1382,1045189,9
0000000204,1,0.0,1373,1045180,10
0000000205,1,0.0,1373,1045181,11
0000000206,1,0.0,1373,1045165,10
0000000207,1,0.0,1374,1045171,11
0000000208,1,0.0014534883720930232,1376,1045168,10
0000000209,1,0.001448225923244026,1381,1045176,12
0000000210,1,0.0014545454545454545,1375,1045146,12
0000000211,1,0.0,1033,1045145,7
0000000212,1,0.0,1378,1045147,11
0000000213,1,0.002911208151382824,1374,1045174,9
0000000214,1,0.0029006526468455403,1379,1045181,10
0000000215,1,0.0,1378,1045178,12
0000000216,1,0.0,1371,1045183,11
0000000217,1,0.0,1374,1045175,12
