Starting Experiment with Threshold 0.1
Stopping on first fine-grained match below threshold
Buffers sized less than 10 are discarded
Filename, Fine-grained tries, Coarse-grained Measure, Fine-grained Measure, offset, Buffer size (bytes), Heap size (bytes), time taken (ms)
0000008463,0,,,,1408,18497677,196
0000008462,0,,,,1408,18497677,195
0000008461,0,,,,1408,18497677,194
0000008460,0,,,,1408,18497677,197
0000008459,0,,,,1408,18497677,196
0000008458,0,,,,1408,18497677,194
0000008457,0,,,,352,18497677,206
0000008456,0,,,,1411,18497677,208
0000008455,0,,,,1414,18497677,201
0000008454,0,,,,1410,18497677,195
0000008453,0,,,,1412,18497677,196
0000008452,0,,,,1412,18497677,196
0000008451,0,,,,1409,18497677,197
0000008450,0,,,,1416,18497677,195
0000008449,0,,,,1413,18497677,200
0000008448,0,,,,1413,18497677,208
0000008447,0,,,,1415,18497677,210
0000008446,0,,,,1420,18497677,236
0000008445,0,,,,55,18497677,207
0000008444,0,,,,445,18497677,206
0000008443,0,,,,1412,18497677,204
0000008442,0,,,,1414,18497677,209
0000008441,0,,,,1411,18497677,207
0000008440,0,,,,1410,18497677,208
0000008439,0,,,,1415,18497677,215
0000008438,0,,,,1416,18497677,206
0000008437,0,,,,1411,18497677,202
0000008436,0,,,,1412,18497677,198
0000008435,0,,,,1411,18497677,219
0000008434,0,,,,1416,18497677,231
0000008433,0,,,,1418,18497677,261
0000008432,0,,,,54,18497677,210
0000008431,,,,,17,18497677,0
0000008430,0,,,,210,18497677,228
0000008429,0,,,,1416,18497677,200
0000008428,0,,,,1411,18497677,199
0000008427,0,,,,1412,18497677,208
0000008426,0,,,,1414,18497677,206
0000008425,0,,,,1412,18497677,203
0000008424,0,,,,1410,18497677,257
0000008423,0,,,,1412,18497677,248
0000008422,0,,,,1412,18497677,214
0000008421,0,,,,1414,18497677,214
0000008420,0,,,,1411,18497677,211
0000008419,0,,,,1415,18497677,208
0000008418,0,,,,55,18497677,205
0000008417,0,,,,1408,18497677,210
0000008416,0,,,,1408,18497677,204
0000008415,0,,,,1408,18497677,197
0000008414,0,,,,1408,18497677,215
0000008413,0,,,,1408,18497677,221
0000008412,0,,,,1408,18497677,203
0000008411,0,,,,1408,18497677,202
0000008410,0,,,,1414,18497677,195
0000008409,0,,,,350,18497677,212
0000008408,,,,,9,18497677,1
0000008407,0,,,,40,18497677,207
0000008406,0,,,,496,18497677,199
0000008405,0,,,,51,18497677,197
0000008404,0,,,,128,18497677,196
0000008403,,,,,17,18497677,0
0000008402,0,,,,961,18497677,198
0000008401,0,,,,1414,18497677,210
0000008400,0,,,,1416,18497677,201
0000008399,0,,,,1414,18497677,211
0000008398,0,,,,1413,18497677,211
0000008397,0,,,,1413,18497677,198
0000008396,0,,,,1414,18497677,200
0000008395,0,,,,1412,18497677,221
0000008394,0,,,,107,18497677,218
0000008393,0,,,,352,18497677,203
0000008392,0,,,,1411,18497677,201
0000008391,0,,,,1414,18497677,201
0000008390,0,,,,1410,18497677,212
0000008389,0,,,,1412,18497677,212
0000008388,0,,,,1412,18497677,208
0000008387,0,,,,1409,18497677,202
0000008386,0,,,,1416,18497677,199
0000008385,0,,,,1413,18497677,227
0000008384,0,,,,1413,18497677,248
0000008383,0,,,,1415,18497677,208
0000008382,0,,,,1420,18497677,198
0000008381,0,,,,107,18497677,197
0000008380,,,,,17,18497677,0
0000008379,0,,,,445,18497677,213
0000008378,0,,,,1412,18497677,208
0000008377,0,,,,1414,18497677,205
0000008376,0,,,,1411,18497677,209
0000008375,0,,,,1410,18497677,203
0000008374,0,,,,1415,18497677,214
0000008373,0,,,,1416,18497677,211
0000008372,0,,,,1411,18497677,209
0000008371,0,,,,1412,18497677,206
0000008370,0,,,,1411,18497677,210
0000008369,0,,,,1416,18497677,204
0000008368,0,,,,1418,18497677,198
0000008367,0,,,,106,18497677,197
0000008366,,,,,17,18497677,0
0000008365,,,,,9,18497677,0
0000008364,0,,,,458,18497677,206
0000008363,0,,,,1450,18497677,201
0000008362,0,,,,1450,18497677,206
0000008361,0,,,,1451,18497677,200
0000008360,0,,,,1450,18497677,210
0000008359,0,,,,1454,18497677,200
0000008358,0,,,,1449,18497677,203
0000008357,0,,,,1447,18497677,196
0000008356,0,,,,1445,18497677,200
0000008355,0,,,,1445,18497677,203
0000008354,0,,,,1450,18497677,209
0000008353,0,,,,1447,18497677,204
0000008352,0,,,,1448,18497677,203
0000008351,0,,,,1447,18497677,200
0000008350,0,,,,1451,18497677,228
0000008349,0,,,,1450,18497677,210
0000008348,0,,,,1451,18497677,207
0000008347,0,,,,1459,18497677,210
0000008346,0,,,,1453,18497677,208
0000008345,0,,,,47,18497677,206
0000008344,,,,,17,18497677,0
0000008343,,,,,9,18497677,0
0000008342,0,,,,124,18497677,207
0000008341,0,,,,585,18497677,203
0000008340,,,,,9,18497677,0
0000008339,0,,,,40,18497677,204
0000008338,0,,,,497,18497677,201
0000008337,0,,,,52,18497677,195
0000008336,0,,,,129,18497677,199
0000008335,,,,,9,18497677,0
0000008334,0,,,,1135,18497677,201
0000008333,0,,,,1441,18497677,198
0000008332,0,,,,1445,18497677,198
0000008331,0,,,,51,18497677,194
0000008330,,,,,17,18497677,0
0000008329,,,,,9,18497677,0
0000008328,0,,,,676,18497677,201
0000008327,0,,,,1451,18497677,200
0000008326,0,,,,1448,18497677,199
0000008325,0,,,,1441,18497677,198
0000008324,0,,,,1449,18497677,200
0000008323,0,,,,1450,18497677,198
0000008322,0,,,,1445,18497677,201
0000008321,0,,,,1447,18497677,212
0000008320,0,,,,1449,18497677,204
0000008319,0,,,,1447,18497677,205
0000008318,0,,,,1443,18497677,208
0000008317,0,,,,1451,18497677,218
0000008316,0,,,,75,18497677,216
0000008315,0,,,,1159,18497677,207
0000008314,0,,,,91,18497677,208
0000008313,,,,,17,18497677,0
0000008312,0,,,,803,18497677,207
0000008311,0,,,,1417,18497677,206
0000008310,0,,,,1422,18497677,212
0000008309,0,,,,1422,18497677,215
0000008308,0,,,,1422,18497677,211
0000008307,0,,,,1422,18497677,212
0000008306,0,,,,1422,18497677,209
0000008305,0,,,,1422,18497677,207
0000008304,0,,,,1422,18497677,205
0000008303,0,,,,1422,18497677,202
0000008302,0,,,,1435,18497677,203
